"Pasta","Problema","Detalhe"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Globalwines","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\HUF PORTUGUESA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\LABESFAL- Fresenius-Kabi","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\lagares","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Lar São Joaninho","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Mc Donald´s Tondela","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Metalbeiras","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Minipreço Tábua","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Nutrofertil","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Oficina 2015Car- Tondela","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Oficina Luis Figueira da Adiça","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Oficina Manuel António Unipessoal, lda","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Oficina Motas- Motoshop Tondela","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Oficina Motoshop","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Oficina NA AUTOMOVEIS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\OVOS CARAMULO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\PANIKE","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Pastelaria Joaninha- Fábrica","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Picamilho- Tondela","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\PINGO DOCE SANTA COMBA DÃO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Pinto Valouro- Quinta da Freira","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\PINTOGAL- TONDELA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\PLANALTO BEIRÃO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\PREZERO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\PROTO MAIS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\PUREM","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Queijaria Flor da Beira","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Resimadeiras e transportes TFM","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Restaurante Três Pipos","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\RESTAURAÇÃO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Rumos virtuosos- aviários","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SABGAL - OVEIRO","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SAT ENERGY- ZIM ADIÇA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SECIL","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SFPC","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SIMAVIA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SOCORPENA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SOMAFEL","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\SOMITEL","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\Talho do povo- Luís Pedro","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\TECNIREPAIR AUTO- OFICINA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\TEXLA","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\TRATRIS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Declarações- EMPRESAS\VILAROVO - VILAR BESTEIROS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\Desativação ETARS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\E-GARS","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
"D:\FILE_AINTAR\Ambiente\E-GARS\AINTAR-E-GAR","ACESSO_AMPLO_ESCRITA","NT AUTHORITY\Authenticated Users com Modify, Synchronize"
